KnessetNum,FactionID,FactionName,CoalitionStatus,DateJoinedCoalition,DateLeftCoalition
25,1102.0,סיעת יש עתיד,Opposition,,
25,1106.0,סיעת עוצמה יהודית בראשות איתמר צבן גביר,Coalition,,
25,1109.0,חה״כ עידן רול,Coalition,,
25,1108.0,סיעת הימין הממלכתי,Coalition,,
25,1100.0,סיעת העבודה,Opposition,,
25,1103.0,סיעת חד״ש-תע״ל,Opposition,,
25,1095.0,סיעת התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ״ל,Coalition,,
25,1104.0,סיעת ישראל ביתנו,Opposition,,
25,1105.0,סיעת הציונות הדתית בראשות בצלאל סמוטריץ׳,Coalition,,
25,1101.0,סיעת יהדות התורה,Coalition,,
25,1098.0,סיעת המחנה הממלכתי,Opposition,,
25,1096.0,סיעת הליכוד,Coalition,,
25,1099.0,סיעת רע״ם,Opposition,,
25,1107.0,סיעת נעם - בראשות אבי מעוז,Coalition,,
