Code,Hebrew,English
1,מקרו-כלכלה,Macro-economics
2,זכויות אזרח,Civil Rights
3,בריאות,Health
4,חקלאות,Agriculture
5,עבודה ותעסוקה,Labor
6,חינוך,Education
7,סביבה,Environment
8,אנרגיה,Energy
9,הגירה,Immigration
10,תחבורה,Transportation
12,"חוק, פשע וענייני משפחה",Law & Crime
13,רווחה חברתית,Welfare
14,דיור ותכנון,Housing
15,מסחר מקומי,Commerce
16,ביטחון,Defense
17,טכנולוגיה,Technology
18,סחר חוץ,Trade
19,יחסים בינלאומיים,International Affairs
20,פעולות ממשלתיות,Government
21,קרקעות ציבוריות,Public Lands
23,"תרבות, זהות וחברה",Culture
